,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%,OPS%,OCT,OSA,OSV
146,J. Trainor,0.0,1.0,0.0,0.0,2.0,1.0,2.0,12.0,10.0,14.0,3.0,6.0,1.0,19.0,13.0,45.8,45.53333333333333,5.0,12.0,18.0
176,M. Campbell,6.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,4.666666666666667,3.3333333333333335,1.3333333333333333,23.0,17.666666666666668,14.0,3.0,6.0,1.0,13.0,14.0,48.93333333333334,45.53333333333333,5.0,12.0,18.0
187,M. Holman,3.0,2.0,0.3333333333333333,0.0,8.333333333333334,7.0,2.3333333333333335,37.333333333333336,26.666666666666668,14.0,3.0,6.0,1.0,13.0,14.0,48.93333333333334,45.5,5.5,12.5,15.5
250,R. Drenner,4.0,1.3333333333333333,0.0,0.3333333333333333,4.333333333333333,2.6666666666666665,1.3333333333333333,22.0,17.333333333333332,14.0,3.0,6.0,1.0,13.0,14.0,48.93333333333334,48.93333333333334,6.0,13.0,14.0
322,Z. Tucci,0.0,1.0,0.5,0.0,3.0,2.5,9.0,8.5,5.0,14.0,3.0,6.0,1.0,10.0,14.5,50.5,45.53333333333333,5.0,12.0,18.0
23,B. O'Neill,2.0,3.5,0.5,1.0,10.0,6.5,1.5,35.0,25.0,15.0,6.0,6.5,8.0,16.5,10.0,50.099999999999994,46.15,7.0,16.0,13.0
39,C. Ferrara,1.0,0.0,0.0,1.5,3.0,2.0,0.0,18.0,14.5,15.0,6.0,6.5,8.0,16.5,10.0,50.099999999999994,46.15,7.0,16.0,13.0
83,D. Young,2.0,1.0,0.0,0.0,3.0,1.0,0.0,8.0,5.0,15.0,6.0,4.0,8.0,17.0,15.0,49.3,49.3,4.0,17.0,15.0
98,G. Bundy,5.0,0.5,0.0,0.5,7.0,2.0,0.5,20.0,13.0,15.0,6.0,6.5,8.0,16.5,10.0,50.099999999999994,43.4,9.0,20.0,14.0
112,J. Bernhardt,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,7.0,15.0,6.0,5.0,8.0,12.0,14.0,50.3,46.15,7.0,16.0,13.0
136,J. Piseno,0.0,0.0,0.0,0.5,1.5,1.5,3.5,12.0,9.0,15.0,6.0,6.5,8.0,16.5,10.0,50.099999999999994,43.4,9.0,20.0,14.0
150,J. Zawada,2.0,1.5,0.0,1.5,5.5,4.0,0.0,40.0,32.5,15.0,6.0,6.5,8.0,16.5,10.0,50.099999999999994,46.15,7.0,16.0,13.0
169,L. Wierman,1.0,0.5,0.0,0.0,1.5,1.0,10.5,11.0,8.0,15.0,6.0,6.5,8.0,16.5,10.0,50.099999999999994,43.4,9.0,20.0,14.0
269,R. Terefenko,2.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0,8.0,15.0,6.0,9.0,8.0,16.0,5.0,50.9,46.15,7.0,16.0,13.0
271,S. Handley,4.0,1.5,0.5,0.0,8.0,4.5,0.5,23.5,14.5,15.0,6.0,6.5,8.0,16.5,10.0,50.099999999999994,48.9,5.0,12.0,12.0
0,A. Cohen,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,15.0,8.0,9.0,6.0,20.0,14.0,43.4,50.099999999999994,6.5,16.5,10.0
28,B. Tevlin,0.0,0.5,0.0,0.5,1.0,1.0,1.5,10.5,8.5,15.0,8.0,7.0,6.0,16.0,13.0,46.15,50.099999999999994,6.5,16.5,10.0
33,C. Bertrand,1.0,1.5,0.0,0.5,5.5,4.0,1.0,22.0,15.0,15.0,8.0,7.0,6.0,16.0,13.0,46.15,50.099999999999994,6.5,16.5,10.0
45,C. Gray,2.0,2.0,0.0,0.0,4.0,3.0,1.0,22.0,15.0,15.0,8.0,9.0,6.0,20.0,14.0,43.4,50.099999999999994,6.5,16.5,10.0
101,G. Degnon,0.0,1.5,0.5,0.5,5.5,4.5,0.5,19.5,13.5,15.0,8.0,7.0,6.0,16.0,13.0,46.15,50.9,9.0,16.0,5.0
122,J. Conners,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,4.0,15.0,8.0,9.0,6.0,20.0,14.0,43.4,50.099999999999994,6.5,16.5,10.0
246,R. Dennis,4.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,10.0,15.0,8.0,5.0,6.0,12.0,12.0,48.9,50.099999999999994,6.5,16.5,10.0
302,TD Ierlan,1.0,1.0,0.0,0.0,2.0,1.0,12.0,11.0,8.5,15.0,8.0,7.0,6.0,16.0,13.0,46.15,50.099999999999994,6.5,16.5,10.0
308,W. Berg,2.0,2.0,0.0,0.5,2.0,2.0,0.0,17.5,15.0,15.0,8.0,7.0,6.0,16.0,13.0,46.15,50.3,5.0,12.0,14.0
25,B. Randall,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,14.0,16.0,2.0,10.0,5.0,15.0,17.0,40.8,43.73333333333333,10.666666666666666,13.0,13.0
52,C. Kelly,2.0,1.6666666666666667,0.0,0.0,7.666666666666667,4.333333333333333,0.0,26.0,16.666666666666668,16.0,2.0,10.666666666666666,5.0,13.0,13.0,43.73333333333333,42.900000000000006,6.25,11.5,14.0
91,E. Walker,0.0,0.6666666666666666,0.0,0.6666666666666666,3.6666666666666665,2.6666666666666665,1.0,31.666666666666668,27.0,16.0,2.0,10.666666666666666,5.0,13.0,13.0,43.73333333333333,42.900000000000006,6.25,11.5,14.0
121,J. Carraway,1.0,1.0,0.0,0.0,3.0,2.0,1.3333333333333333,17.0,13.666666666666666,16.0,2.0,10.666666666666666,5.0,13.0,13.0,43.73333333333333,42.900000000000006,6.25,11.5,14.0
138,J. Richard,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,16.0,2.0,12.0,5.0,12.0,9.0,49.0,42.900000000000006,6.25,11.5,14.0
159,K. McArdle,5.0,2.3333333333333335,0.0,1.3333333333333333,8.666666666666666,5.0,1.0,40.0,30.0,16.0,2.0,10.666666666666666,5.0,13.0,13.0,43.73333333333333,38.6,7.0,15.0,13.0
216,M. Sowers,2.0,2.3333333333333335,0.0,2.3333333333333335,8.0,6.0,0.3333333333333333,48.333333333333336,39.666666666666664,16.0,2.0,10.666666666666666,5.0,13.0,13.0,43.73333333333333,44.333333333333336,6.0,10.333333333333334,14.333333333333334
219,M. Whitcher,0.0,1.0,0.0,0.0,2.0,1.0,0.5,6.5,4.0,16.0,2.0,11.0,5.0,13.5,13.0,44.9,45.2,9.0,9.0,11.0
244,R. Conrad,1.0,1.3333333333333333,0.0,0.3333333333333333,6.0,4.333333333333333,1.3333333333333333,20.0,13.333333333333334,16.0,2.0,10.666666666666666,5.0,13.0,13.0,43.73333333333333,40.8,10.0,15.0,17.0
317,Z. Currier,0.0,1.3333333333333333,0.0,1.0,2.3333333333333335,2.0,2.0,15.333333333333334,12.0,16.0,2.0,10.666666666666666,5.0,13.0,13.0,43.73333333333333,42.900000000000006,6.25,11.5,14.0
