,P,1G,2G,A,SH,SH%,SOG,GB,TO,TCH,PAS,GID,TID
B. Costabile,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
88,1,1,0,0,4,25%,4,2,0,24,20,2,4
Jacoby profile,,,,,,,,,,,,,4
R. Jacoby,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
91,0,0,0,0,1,0%,1,1,0,9,8,2,4
Logan profile,,,,,,,,,,,,,4
D. Logan,,,,,,,,,,,,,4
SSDM,,,,,,,,,,,,,4
8,0,0,0,0,5,0%,1,1,2,25,18,2,4
Jones profile,,,,,,,,,,,,,
M. Jones,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
55,3,3,0,0,4,75%,3,1,0,9,5,3,5
MacKay profile,,,,,,,,,,,,,5
I. MacKay,,,,,,,,,,,,,5
SSDM,,,,,,,,,,,,,5
30,3,1,1,0,2,100%,2,1,2,12,8,3,5
Perkovic profile,,,,,,,,,,,,,5
S. Perkovic,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
15,2,2,0,0,2,100%,2,0,2,17,13,3,5
Scott profile,,,,,,,,,,,,,5
R. Scott,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
7,2,1,0,1,3,33.30%,1,1,2,12,7,3,5
Minicus profile,,,,,,,,,,,,,5
B. Minicus,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
1,2,1,0,1,1,100%,1,1,2,14,11,3,5
Jackson profile,,,,,,,,,,,,,5
K. Jackson,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
22,2,1,0,1,6,16.70%,5,2,4,30,20,3,5
Byrne profile,,,,,,,,,,,,,5
J. Byrne,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
34,2,1,0,1,1,100%,1,4,0,11,10,3,5
Resch profile,,,,,,,,,,,,,5
P. Resch,,,,,,,,,,,,,5
SSDM,,,,,,,,,,,,,5
8,2,1,0,1,1,100%,1,0,2,29,26,3,5
Heningburg profile,,,,,,,,,,,,,5
J. Heningburg,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
99,2,0,1,0,1,100%,1,2,1,12,10,3,5
Rowlett profile,,,,,,,,,,,,,5
J. Rowlett,,,,,,,,,,,,,5
D,,,,,,,,,,,,,5
27,1,1,0,0,2,50%,1,1,1,22,19,3,5
Knobloch profile,,,,,,,,,,,,,5
S. Knobloch,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
82,1,0,0,1,1,0%,1,2,2,28,25,3,5
Kurtz profile,,,,,,,,,,,,,5
T. Kurtz,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
0,1,0,0,1,0,0%,0,1,0,7,7,3,5
Riorden profile,,,,,,,,,,,,,5
B. Riorden,,,,,,,,,,,,,5
G,,,,,,,,,,,,,5
73,0,0,0,0,1,0%,1,5,1,7,5,3,5
Rowlett profile,,,,,,,,,,,,,5
N. Rowlett,,,,,,,,,,,,,5
FO,,,,,,,,,,,,,5
9,0,0,0,0,1,0%,1,3,1,9,7,3,5
Costabile profile,,,,,,,,,,,,,
CJ Costabile,,,,,,,,,,,,,
LSM,,,,,,,,,,,,,
,,,,,,,,,,,,,
12,4,3,0,1,7,42.90%,6,5,2,39,30,3,6
Wisnauskas profile,,,,,,,,,,,,,6
L. Wisnauskas,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
26,4,2,1,0,8,37.50%,4,1,1,28,19,3,6
Handley profile,,,,,,,,,,,,,6
S. Handley,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
42,2,1,0,1,5,20%,3,0,0,26,21,3,6
O'Neill profile,,,,,,,,,,,,,6
B. O'Neill,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
22,2,0,0,2,5,0%,3,0,0,24,19,3,6
Ferrara profile,,,,,,,,,,,,,6
C. Ferrara,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
21,1,1,0,0,3,33.30%,2,5,1,16,12,3,6
Anderson profile,,,,,,,,,,,,,6
J. Anderson,,,,,,,,,,,,,6
SSDM,,,,,,,,,,,,,6
34,1,1,0,0,1,100%,1,1,0,9,8,3,6
Terefenko profile,,,,,,,,,,,,,6
R. Terefenko,,,,,,,,,,,,,6
SSDM,,,,,,,,,,,,,6
79,1,1,0,0,6,16.70%,4,0,1,36,29,3,6
Zawada profile,,,,,,,,,,,,,6
J. Zawada,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
0,1,0,0,1,1,0%,0,1,0,8,7,3,6
Messenger profile,,,,,,,,,,,,,6
M. Messenger,,,,,,,,,,,,,6
SSDM,,,,,,,,,,,,,6
88,1,0,0,1,1,0%,1,5,2,13,10,3,6
Piseno profile,,,,,,,,,,,,,6
J. Piseno,,,,,,,,,,,,,6
LSM,,,,,,,,,,,,,6
2,0,0,0,0,3,0%,1,1,1,34,30,3,6
Myers profile,,,,,,,,,,,,,6
J. Myers,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
7,0,0,0,0,6,0%,1,0,0,20,14,3,6
Bundy profile,,,,,,,,,,,,,6
G. Bundy,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
52,0,0,0,0,1,0%,1,10,2,8,5,3,6
Wierman profile,,,,,,,,,,,,,
L. Wierman,,,,,,,,,,,,,
FO,,,,,,,,,,,,,
,,,,,,,,,,,,,
